
---------- Begin Simulation Statistics ----------
simSeconds                                   0.002247                       # Number of seconds simulated (Second)
simTicks                                   2246972000                       # Number of ticks simulated (Tick)
finalTick                                  2246972000                       # Number of ticks from beginning of simulation (restored from checkpoints and never reset) (Tick)
simFreq                                  1000000000000                       # The number of ticks per simulated second ((Tick/Second))
hostSeconds                                     17.84                       # Real time elapsed on the host (Second)
hostTickRate                                125937685                       # The number of ticks simulated per host second (ticks/s) ((Tick/Second))
hostMemory                                     781280                       # Number of bytes of host memory used (Byte)
simInsts                                      2145157                       # Number of instructions simulated (Count)
simOps                                        3757408                       # Number of ops (including micro ops) simulated (Count)
hostInstRate                                   120230                       # Simulator instruction rate (inst/s) ((Count/Second))
hostOpRate                                     210593                       # Simulator op (including micro ops) rate (op/s) ((Count/Second))
system.clk_domain.clock                          1000                       # Clock period in ticks (Tick)
system.clk_domain.voltage_domain.voltage            1                       # Voltage in Volts (Volt)
system.cpu1.numCycles                         2221956                       # Number of cpu cycles simulated (Cycle)
system.cpu1.numWorkItemsStarted                     0                       # Number of work items this cpu started (Count)
system.cpu1.numWorkItemsCompleted                   0                       # Number of work items this cpu completed (Count)
system.cpu1.instsAdded                        4756949                       # Number of instructions added to the IQ (excludes non-spec) (Count)
system.cpu1.nonSpecInstsAdded                    1953                       # Number of non-speculative instructions added to the IQ (Count)
system.cpu1.instsIssued                       4372321                       # Number of instructions issued (Count)
system.cpu1.squashedInstsIssued                  3019                       # Number of squashed instructions issued (Count)
system.cpu1.squashedInstsExamined             1038178                       # Number of squashed instructions iterated over during squash; mainly for profiling (Count)
system.cpu1.squashedOperandsExamined          1630534                       # Number of squashed operands that are examined and possibly removed from graph (Count)
system.cpu1.squashedNonSpecRemoved                249                       # Number of squashed non-spec instructions that were removed (Count)
system.cpu1.numIssuedDist::samples            2111412                       # Number of insts issued each cycle
system.cpu1.numIssuedDist::mean              2.070804                       # Number of insts issued each cycle
system.cpu1.numIssuedDist::stdev             2.343975                       # Number of insts issued each cycle
system.cpu2.lsq0.ignoredResponses                  10                       # Number of memory responses ignored because the instruction is squashed (Count)
system.cpu2.lsq0.memOrderViolation                 33                       # Number of memory ordering violations (Count)
system.cpu2.lsq0.squashedStores                  1581                       # Number of stores squashed (Count)
system.cpu2.lsq0.rescheduledLoads                   1                       # Number of loads that were rescheduled (Count)
system.cpu2.lsq0.blockedByCache                    17                       # Number of times an access to memory failed due to the cache being blocked (Count)
system.cpu2.lsq0.loadToUse::samples              5109                       # Distribution of cycle latency between the first time a load is issued and its completion
system.cpu2.lsq0.loadToUse::mean             6.467410                       # Distribution of cycle latency between the first time a load is issued and its completion
system.cpu2.lsq0.loadToUse::stdev           17.311971                       # Distribution of cycle latency between the first time a load is issued and its completion
system.cpu2.lsq0.loadToUse::0-9                  4841     94.75%     94.75% # Distribution of cycle latency between the first time a load is issued and its completion
system.cpu2.lsq0.loadToUse::10-19                  12      0.23%     94.99% # Distribution of cycle latency between the first time a load is issued and its completion
system.cpu2.lsq0.loadToUse::20-29                  91      1.78%     96.77% # Distribution of cycle latency between the first time a load is issued and its completion
system.cpu2.lsq0.loadToUse::30-39                  45      0.88%     97.65% # Distribution of cycle latency between the first time a load is issued and its completion
system.cpu2.lsq0.loadToUse::40-49                   1      0.02%     97.67% # Distribution of cycle latency between the first time a load is issued and its completion
system.cpu2.lsq0.loadToUse::50-59                   6      0.12%     97.79% # Distribution of cycle latency between the first time a load is issued and its completion
system.cpu2.lsq0.loadToUse::60-69                   3      0.06%     97.85% # Distribution of cycle latency between the first time a load is issued and its completion
system.cpu2.lsq0.loadToUse::80-89                   4      0.08%     97.93% # Distribution of cycle latency between the first time a load is issued and its completion
system.cpu2.lsq0.loadToUse::90-99                  26      0.51%     98.43% # Distribution of cycle latency between the first time a load is issued and its completion
system.cpu2.lsq0.loadToUse::100-109                 6      0.12%     98.55% # Distribution of cycle latency between the first time a load is issued and its completion
system.cpu2.lsq0.loadToUse::110-119                16      0.31%     98.86% # Distribution of cycle latency between the first time a load is issued and its completion
system.cpu2.lsq0.loadToUse::120-129                46      0.90%     99.77% # Distribution of cycle latency between the first time a load is issued and its completion
system.cpu2.lsq0.loadToUse::130-139                 6      0.12%     99.88% # Distribution of cycle latency between the first time a load is issued and its completion
system.cpu2.lsq0.loadToUse::140-149                 2      0.04%     99.92% # Distribution of cycle latency between the first time a load is issued and its completion
system.cpu2.lsq0.loadToUse::160-169                 1      0.02%     99.94% # Distribution of cycle latency between the first time a load is issued and its completion
system.cpu2.lsq0.loadToUse::170-179                 1      0.02%     99.96% # Distribution of cycle latency between the first time a load is issued and its completion
system.cpu2.lsq0.loadToUse::190-199                 2      0.04%    100.00% # Distribution of cycle latency between the first time a load is issued and its completion
system.cpu2.lsq0.loadToUse::min_value               2                       # Distribution of cycle latency between the first time a load is issued and its completion
system.cpu2.lsq0.loadToUse::max_value             199                       # Distribution of cycle latency between the first time a load is issued and its completion
system.cpu2.lsq0.loadToUse::total                5109                       # Distribution of cycle latency between the first time a load is issued and its completion
system.cpu2.mmu.dtb.rdAccesses                   7429                       # TLB accesses on read requests (Count)
system.cpu2.mmu.dtb.wrAccesses                   3997                       # TLB accesses on write requests (Count)
system.cpu2.mmu.dtb.rdMisses                      151                       # TLB misses on read requests (Count)
system.cpu2.mmu.dtb.wrMisses                       23                       # TLB misses on write requests (Count)
system.cpu2.mmu.dtb.walker.power_state.pwrStateResidencyTicks::UNDEFINED   2246972000                       # Cumulative time (in ticks) in various power states (Tick)
system.cpu2.mmu.itb.rdAccesses                      0                       # TLB accesses on read requests (Count)
system.cpu2.mmu.itb.wrAccesses                   5098                       # TLB accesses on write requests (Count)
system.cpu2.mmu.itb.rdMisses                        0                       # TLB misses on read requests (Count)
system.cpu2.mmu.itb.wrMisses                      185                       # TLB misses on write requests (Count)
system.cpu2.mmu.itb.walker.power_state.pwrStateResidencyTicks::UNDEFINED   2246972000                       # Cumulative time (in ticks) in various power states (Tick)
system.cpu2.power_state.pwrStateResidencyTicks::ON   2246972000                       # Cumulative time (in ticks) in various power states (Tick)
system.cpu2.rename.squashCycles                   818                       # Number of cycles rename is squashing (Cycle)
system.cpu2.rename.idleCycles                   21216                       # Number of cycles rename is idle (Cycle)
system.cpu2.rename.blockCycles                   6115                       # Number of cycles rename is blocking (Cycle)
system.cpu2.rename.serializeStallCycles          1025                       # count of cycles rename stalled for serializing inst (Cycle)
system.cpu2.rename.runCycles                     9420                       # Number of cycles rename is running (Cycle)
system.cpu2.rename.unblockCycles                 9015                       # Number of cycles rename is unblocking (Cycle)
system.cpu2.rename.renamedInsts                 67621                       # Number of instructions processed by rename (Count)
system.cpu2.rename.ROBFullEvents                   89                       # Number of times rename has blocked due to ROB full (Count)
system.cpu2.rename.IQFullEvents                   777                       # Number of times rename has blocked due to IQ full (Count)
system.cpu2.rename.LQFullEvents                   257                       # Number of times rename has blocked due to LQ full (Count)
system.cpu2.rename.SQFullEvents                  7730                       # Number of times rename has blocked due to SQ full (Count)
system.cpu2.rename.renamedOperands              76242                       # Number of destination operands rename has renamed (Count)
system.cpu2.rename.lookups                     172919                       # Number of register rename lookups that rename has made (Count)
system.cpu2.rename.intLookups                   96586                       # Number of integer rename lookups (Count)
system.cpu2.rename.fpLookups                     9316                       # Number of floating rename lookups (Count)
system.cpu2.rename.committedMaps                41142                       # Number of HB maps that are committed (Count)
system.cpu2.rename.undoneMaps                   35100                       # Number of HB maps that are undone due to squashing (Count)
system.cpu2.rename.serializing                     62                       # count of serializing insts renamed (Count)
system.cpu2.rename.tempSerializing                 60                       # count of temporary serializing insts renamed (Count)
system.cpu2.rename.skidInsts                     5062                       # count of insts added to the skid buffer (Count)
system.cpu2.rob.reads                          104702                       # The number of ROB reads (Count)
system.cpu2.rob.writes                         129617                       # The number of ROB writes (Count)
system.cpu2.thread_0.numInsts                   18581                       # Number of Instructions committed (Count)
system.cpu2.thread_0.numOps                     36690                       # Number of Ops committed (Count)
system.cpu2.thread_0.numMemRefs                     0                       # Number of Memory References (Count)
system.cpu2.workload.numSyscalls                   11                       # Number of system calls (Count)
system.l2bus.transDist::ReadResp                18880                       # Transaction distribution (Count)
system.l2bus.transDist::WritebackDirty           4473                       # Transaction distribution (Count)
system.l2bus.transDist::CleanEvict              24862                       # Transaction distribution (Count)
system.l2bus.transDist::UpgradeReq                 36                       # Transaction distribution (Count)
system.l2bus.transDist::UpgradeResp                36                       # Transaction distribution (Count)
system.l2bus.transDist::ReadExReq                2403                       # Transaction distribution (Count)
system.l2bus.transDist::ReadExResp               2403                       # Transaction distribution (Count)
system.l2bus.transDist::ReadSharedReq           18881                       # Transaction distribution (Count)
system.l2bus.pktCount_system.cpu1.icache.mem_side_port::system.l2cache.cpu_side_port        10224                       # Packet count per connected requestor and responder (Count)
system.l2bus.pktCount_system.cpu1.dcache.mem_side_port::system.l2cache.cpu_side_port        48622                       # Packet count per connected requestor and responder (Count)
system.l2bus.pktCount_system.cpu2.icache.mem_side_port::system.l2cache.cpu_side_port         2008                       # Packet count per connected requestor and responder (Count)
system.l2bus.pktCount_system.cpu2.dcache.mem_side_port::system.l2cache.cpu_side_port          923                       # Packet count per connected requestor and responder (Count)
system.l2bus.pktCount::total                    61777                       # Packet count per connected requestor and responder (Count)
system.l2bus.pktSize_system.cpu1.icache.mem_side_port::system.l2cache.cpu_side_port       223424                       # Cumulative packet size per connected requestor and responder (Byte)
